class,text,preprocess,split_and_filter
R3,"Hib荚膜多糖在疫苗制备周期中的结构稳定性 b型流感嗜血杆菌/荚膜多糖/聚核糖基核糖醇磷酸酯/核磁共振波谱法 目的 评价b型流感嗜血杆菌（Haemophilus influenzae type b,Hib）荚膜多糖的基本结构聚核糖基核糖醇磷酸酯（polyribosylribitol phosphate,PRP）在Hib结合疫苗制备过程中的稳定性。方法 采用核磁共振波谱（nuclear magnetic resonance spectroscopy,NMR）技术对制备的Hib精制多糖、多糖衍生物、多糖蛋白结合物进行结构解析。结果 制备的Hib精制多糖、多糖衍生物、多糖蛋白结合物的各项检测结果均符合《中国药典》三部（2020版）相关标准要求，且NMR谱图均未发生明显变化。结论 Hib结合疫苗主要抗原荚膜多糖的基本结构PRP在疫苗制备周期中未发生变化。", 荚膜多糖在疫苗制备周期中的结构稳定性 型流感嗜血杆菌 荚膜多糖 聚核糖基核糖醇磷酸酯 核磁共振波谱法 目的 评价 型流感嗜血杆菌 荚膜多糖的基本结构聚核糖基核糖醇磷酸酯 在 结合疫苗制备过程中的稳定性 方法 采用核磁共振波谱 技术对制备的 精制多糖 多糖衍生物 多糖蛋白结合物进行结构解析 结果 制备的 精制多糖 多糖衍生物 多糖蛋白结合物的各项检测结果均符合 中国药典 三部 版 相关标准要求 且 谱图均未发生明显变化 结论 结合疫苗主要抗原荚膜多糖的基本结构 在疫苗制备周期中未发生变化 ,荚膜多糖 疫苗 制备 周期 结构 稳定性 流感 嗜血 杆菌 荚膜多糖 核糖 基核 糖醇 磷酸酯 核磁共振 波谱 目的 评价 流感 嗜血 杆菌 荚膜多糖 结构 核糖 基核 糖醇 磷酸酯 疫苗 制备 过程 稳定性 核磁共振 波谱 技术 制备 精制 多糖 多糖 衍生物 糖蛋白 结合物 结构 解析 制备 精制 多糖 多糖 衍生物 糖蛋白 结合物 各项 检测 符合 药典 三部 相关 标准 图均 发生 变化 疫苗 抗原 荚膜多糖 结构 疫苗 制备 周期 中未 发生变化
R3,"生物制剂工艺特异性残留宿主蛋白ELISA检测方法的建立及验证 工艺特异性/大肠埃希菌/宿主蛋白/酶联免疫吸附测定 目的 建立基因重组生物制剂中工艺特异性大肠埃希菌残留蛋白双抗体夹心ELISA检测方法，并进行验证。方法 以大肠埃希菌表达胰高血糖素样肽（glucagon-like peptide,GLP）的生产与纯化工艺为特定工艺模型，采用同一工艺用于空载大肠埃希菌（不表达重组蛋白的正常大肠埃希菌）残留蛋白的截取。将获得的残留蛋白作为免疫原分别免疫1只雌性新西兰白兔和6只雌性昆明小鼠，以兔免疫血清纯化IgG抗体为包被抗体，鼠免疫血清为第二夹心抗体，抗鼠IgG-HRP为酶标二抗，建立工艺特异性大肠埃希菌残留蛋白双抗体夹心ELISA方法。对建立的方法进行特异性、准确性、精密性验证，并确定方法的检测限。同时采用建立的方法和市售大肠埃希菌宿主蛋白残留检测试剂盒对纯化的GLP制剂进行残留蛋白定量测定。结果 对已知浓度的工艺特异性残留蛋白进行系列梯度稀释后，建立的ELISA方法检测的灵敏度可达338 pg/mL；该方法检测CHO和酵母细胞裂解蛋白无交叉反应，检测低、中、高3个浓度样品的回收率均在80%～120%范围内，检测低、中、高浓度空载大肠埃希菌截留液标准品的试验内和试验间CV均<15%。针对GLP制剂中的残留蛋白，与建立的方法检出的GLP制剂中残留蛋白总量相比，约有62%的残留蛋白未被市售非工艺特异性ELISA试剂盒检出，这些残留蛋白应为本工艺特异的残留蛋白。结论 建立的双抗体夹心ELISA法检测工艺特异性大肠埃希菌残留蛋白灵敏度高，特异性强，准确性和精密性良好，可满足残留蛋白在生物制剂中低于0.01%～0.1%标准的检测要求。",生物制剂工艺特异性残留宿主蛋白 检测方法的建立及验证 工艺特异性 大肠埃希菌 宿主蛋白 酶联免疫吸附测定 目的 建立基因重组生物制剂中工艺特异性大肠埃希菌残留蛋白双抗体夹心 检测方法 并进行验证 方法 以大肠埃希菌表达胰高血糖素样肽 的生产与纯化工艺为特定工艺模型 采用同一工艺用于空载大肠埃希菌 不表达重组蛋白的正常大肠埃希菌 残留蛋白的截取 将获得的残留蛋白作为免疫原分别免疫 只雌性新西兰白兔和 只雌性昆明小鼠 以兔免疫血清纯化 抗体为包被抗体 鼠免疫血清为第二夹心抗体 抗鼠 为酶标二抗 建立工艺特异性大肠埃希菌残留蛋白双抗体夹心 方法 对建立的方法进行特异性 准确性 精密性验证 并确定方法的检测限 同时采用建立的方法和市售大肠埃希菌宿主蛋白残留检测试剂盒对纯化的 制剂进行残留蛋白定量测定 结果 对已知浓度的工艺特异性残留蛋白进行系列梯度稀释后 建立的 方法检测的灵敏度可达 该方法检测 和酵母细胞裂解蛋白无交叉反应 检测低 中 高 个浓度样品的回收率均在 范围内 检测低 中 高浓度空载大肠埃希菌截留液标准品的试验内和试验间 均 针对 制剂中的残留蛋白 与建立的方法检出的 制剂中残留蛋白总量相比 约有 的残留蛋白未被市售非工艺特异性 试剂盒检出 这些残留蛋白应为本工艺特异的残留蛋白 结论 建立的双抗体夹心 法检测工艺特异性大肠埃希菌残留蛋白灵敏度高 特异性强 准确性和精密性良好 可满足残留蛋白在生物制剂中低于 标准的检测要求 ,生物制剂 工艺 特异性 残留 宿主 蛋白 检测 验证 工艺 特异性 大肠 埃希菌 宿主 蛋白 免疫吸附 测定 目的 基因 重组 生物制剂 工艺 特异性 大肠 埃希菌 残留 蛋白 抗体 夹心 检测 验证 大肠 埃希菌 表达 高血糖素 样肽 生产 纯化 工艺 特定 工艺 工艺 空载 大肠 埃希菌 表达 重组 蛋白 大肠 埃希菌 残留 蛋白 截取 残留 蛋白 免疫原 免疫 雌性 新西兰 白兔 雌性 昆明 小鼠 以兔 免疫血清 纯化 抗体 包被 抗体 免疫血清 第二 夹心 抗体 抗鼠 标二抗 工艺 特异性 大肠 埃希菌 残留 蛋白 抗体 夹心 特异性 准确性 精密性 验证 检测 市售 大肠 埃希菌 宿主 蛋白 残留 检测 试剂盒 纯化 制剂 残留 蛋白 定量 测定 已知 浓度 工艺 特异性 残留 蛋白 系列 梯度 稀释 检测 灵敏度 检测 酵母 细胞 裂解 蛋白 交叉 检测 浓度 样品 回收率 检测 高浓度 空载 大肠 埃希菌 截留 标准 试验 试验 针对 制剂 残留 蛋白 检出 制剂 残留 蛋白 总量 相比 残留 蛋白 市售 工艺 特异性 试剂盒 检出 残留 蛋白 应为 工艺 特异 残留 蛋白 抗体 夹心 检测 工艺 特异性 大肠 埃希菌 残留 蛋白 灵敏度 特异性 准确性 精密性 残留 蛋白 生物制剂 低于 标准 检测
R3,"人CSF3蛋白的原核表达和纯化及其亚细胞定位 粒细胞集落刺激因子/原核表达/蛋白纯化/亚细胞定位 目的 粒细胞集落刺激因子(CSF3)作为免疫调控中的重要细胞因子，在中性粒细胞增殖分化的调控方面发挥关键作用。然而，在病原菌感染中CSF3的调控机制仍不清楚。本研究旨在通过原核表达人CSF3,并观察其在HEK-293T细胞中的亚细胞定位，为重组CSF3药物开发以及揭示其在病原菌感染和免疫调控中的作用机制奠定基础。方法 基于人CSF3的生物信息学分析，分别通过QuikChange和基因克隆获得CSF3 pGlO1和CSF3-pmCherry两种重组质粒。前者在大肠埃希菌原核表达系统中表达，并通过镍离子亲和层析和凝胶过滤层析进行蛋白纯化。后者通过jetPEI试剂转染到HEK-293T细胞中，48 h后通过荧光共聚焦显微镜观察，确定其亚细胞定位。结果 在原核系统中成功表达人CSF3蛋白，其相对分子质量为18.8×10~3。该蛋白的溶解性良好，PP酶酶切后蛋白浓度较高，但蛋白性质相对不稳定，对pH值和温度敏感，容易发生聚集和降解。将荧光融合质粒转染到HEK-293T细胞中48 h后观察，人CSF3-pmCherry蛋白定位在细胞质内，呈现出特定的定位和分布模式。结论 成功构建人CSF3原核表达系统，获得纯度较高的CSF3蛋白。通过荧光融合技术确定CSF3-pmCherry蛋白主要定位在HEK-293T细胞质。为重组CSF3药物的开发及其在病原菌感染和免疫调控中的作用机制研究奠定了基础。",人 蛋白的原核表达和纯化及其亚细胞定位 粒细胞集落刺激因子 原核表达 蛋白纯化 亚细胞定位 目的 粒细胞集落刺激因子 作为免疫调控中的重要细胞因子 在中性粒细胞增殖分化的调控方面发挥关键作用 然而 在病原菌感染中 的调控机制仍不清楚 本研究旨在通过原核表达人 并观察其在 细胞中的亚细胞定位 为重组 药物开发以及揭示其在病原菌感染和免疫调控中的作用机制奠定基础 方法 基于人 的生物信息学分析 分别通过 和基因克隆获得 和 两种重组质粒 前者在大肠埃希菌原核表达系统中表达 并通过镍离子亲和层析和凝胶过滤层析进行蛋白纯化 后者通过 试剂转染到 细胞中 后通过荧光共聚焦显微镜观察 确定其亚细胞定位 结果 在原核系统中成功表达人 蛋白 其相对分子质量为 该蛋白的溶解性良好 酶酶切后蛋白浓度较高 但蛋白性质相对不稳定 对 值和温度敏感 容易发生聚集和降解 将荧光融合质粒转染到 细胞中 后观察 人 蛋白定位在细胞质内 呈现出特定的定位和分布模式 结论 成功构建人 原核表达系统 获得纯度较高的 蛋白 通过荧光融合技术确定 蛋白主要定位在 细胞质 为重组 药物的开发及其在病原菌感染和免疫调控中的作用机制研究奠定了基础 ,蛋白 原核 表达 纯化 细胞 定位 粒细胞 集落 刺激 因子 原核 表达 蛋白 纯化 细胞 定位 目的 粒细胞 集落 刺激 因子 免疫 调控 细胞因子 中性 粒细胞 增殖 分化 调控 发挥 关键作用 病原菌 感染 调控 机制 旨在 原核 表达 观察 细胞 细胞 定位 重组 药物 开发 揭示 病原菌 感染 免疫 调控 作用 机制 奠定 基础 生物 信息学 基因 克隆 两种 重组 质粒 大肠 埃希菌 原核 表达 系统 表达 离子 亲和层析 凝胶 过滤 层析 蛋白 纯化 后者 试剂 转染 细胞 荧光 聚焦 显微镜 观察 其亚 细胞 定位 原核 系统 成功 表达 蛋白 分子 质量 蛋白 溶解性 切后 蛋白 浓度 蛋白 性质 稳定 温度 敏感 发生 聚集 降解 荧光 融合 质粒 转染 细胞 观察 蛋白 定位 细胞质 呈现出 特定 定位 分布模式 成功 构建 原核 表达 系统 纯度 蛋白 荧光 融合 技术 蛋白 定位 细胞质 重组 药物 开发 病原菌 感染 免疫 调控 作用 机制 奠定 基础
R3,"巨核细胞/血小板E1A激活基因阻遏子基因敲除小鼠构建及胎肝巨核细胞诱导分化 E1A激活基因阻遏子基因/巨核细胞/血小板/分化 目的 构建巨核细胞/血小板特异性E1A激活基因阻遏子基因(Creg1)敲除小鼠，并诱导小鼠胚胎胎肝巨核细胞的分化，为研究Creg1在巨核细胞分化和血小板生理功能中的作用提供实验工具及方法。方法 将雌性Creg1~(flox/flox)小鼠与雄性血小板因子4(Pf4)-Cre~+小鼠繁育，获得Creg1~(flox/wt) Pf4-Cre~+小鼠，进一步交配获得巨核细胞/血小板特异性Creg1敲除小鼠(Creg1~(flox/flox) Pf4-Cre~+,简写为Creg1~(-/-))。采用聚合酶链式反应及琼脂糖凝胶电泳进行基因型鉴定。取Creg1~(flox/flox)和Creg1~(-/-)孕龄约15 d小鼠的胎肝，体外培养胎肝细胞4 d,加入血小板生成素，光镜下观察两组巨核细胞形态和大小的区别。结果 本研究成功构建了Creg1~(-/-)小鼠。与Creg1~(flox/flox)小鼠比较，Creg1~(-/-)小鼠巨核细胞中Creg1 mRNA的表达量显著下降，差异有统计学意义(P<0.05)。与Creg1~(flox/flox)小鼠比较，Creg1~(-/-)小鼠胎肝巨核细胞诱导分化4 d时，光镜下观察发现，巨核细胞的直径明显变小，差异有统计学意义(P<0.05)。结论 Creg1~(-/-)小鼠作为研究巨核细胞和血小板相关疾病发生机制的实验工具鼠，可能揭示尚未发现和阐明的重要病理生理学机制，为临床治疗血小板疾病提供理论基础支持。",巨核细胞 血小板 激活基因阻遏子基因敲除小鼠构建及胎肝巨核细胞诱导分化 激活基因阻遏子基因 巨核细胞 血小板 分化 目的 构建巨核细胞 血小板特异性 激活基因阻遏子基因 敲除小鼠 并诱导小鼠胚胎胎肝巨核细胞的分化 为研究 在巨核细胞分化和血小板生理功能中的作用提供实验工具及方法 方法 将雌性 小鼠与雄性血小板因子 小鼠繁育 获得 小鼠 进一步交配获得巨核细胞 血小板特异性 敲除小鼠 简写为 采用聚合酶链式反应及琼脂糖凝胶电泳进行基因型鉴定 取 和 孕龄约 小鼠的胎肝 体外培养胎肝细胞 加入血小板生成素 光镜下观察两组巨核细胞形态和大小的区别 结果 本研究成功构建了 小鼠 与 小鼠比较 小鼠巨核细胞中 的表达量显著下降 差异有统计学意义 与 小鼠比较 小鼠胎肝巨核细胞诱导分化 时 光镜下观察发现 巨核细胞的直径明显变小 差异有统计学意义 结论 小鼠作为研究巨核细胞和血小板相关疾病发生机制的实验工具鼠 可能揭示尚未发现和阐明的重要病理生理学机制 为临床治疗血小板疾病提供理论基础支持 ,巨核细胞 血小板 激活 基因 阻遏 基因 敲除 小鼠 构建 及胎 巨核细胞 诱导 分化 激活 基因 阻遏 基因 巨核细胞 血小板 分化 目的 构建 巨核细胞 血小板 特异性 激活 基因 阻遏 基因 敲除 小鼠 诱导 小鼠 胚胎 胎肝 巨核细胞 分化 巨核细胞 分化 血小板 生理功能 作用 提供 实验 工具 雌性 小鼠 雄性 血小板 因子 小鼠 繁育 小鼠 进一步 交配 巨核细胞 血小板 特异性 敲除 小鼠 简写 聚合酶 链式反应 琼脂糖 凝胶电泳 基因型 鉴定 孕龄 小鼠 体外 培养 肝细胞 血小板 生成素 光镜 观察 两组 巨核细胞 形态 大小 区别 成功 构建 小鼠 小鼠 小鼠 巨核细胞 表达 下降 差异 统计学 意义 小鼠 小鼠 胎肝 巨核细胞 诱导 分化 光镜 观察 发现 巨核细胞 直径 变小 差异 统计学 意义 小鼠 巨核细胞 血小板 相关 疾病 发生 机制 实验 工具 揭示 尚未 发现 阐明 病理 生理学 机制 临床 治疗 血小板 疾病 提供 理论 基础 支持
R3,"猴痘病毒mRNA疫苗的构建及免疫评价 猴痘病毒/痘苗病毒/mRNA疫苗/EEV 目的 设计猴痘病毒(MPXV)抗原，选择多种方案设计抗猴痘病毒mRNA候选疫苗，并完成其表达鉴定及小鼠体内的免疫效果评价。方法 选取猴痘病毒M1R、A35R、A29L、H3L基因设计三组候选抗原基因(命名为：M1R-A35R、A29L-H3L-A35R、A35R-Fc),并设置一组痘苗病毒(VACV)基因(L1R-A33R)作为对照，分别连接至mRNA制备专用载体pGEM-3Zf-n3,通过线性化、体外转录、纯化和加帽获得功能性mRNA,利用Western blot、IFA对目的抗原进行鉴定。通过微流控芯片制备LNP-mRNAs疫苗，制定免疫程序并完成小鼠的免疫及特异性抗体水平监测。结果 成功构建3组抗猴痘病毒的mRNA疫苗和1组抗痘苗病毒的mRNA疫苗，四组疫苗均能表达抗原蛋白，并且制备的4组LNP-mRNAs疫苗在免疫后84 d仍维持较高的特异性抗体水平。结论 成功完成猴痘病毒mRNA疫苗的构建、表达及鉴定，并通过对不同猴痘病毒抗原设计的验证，为以后猴痘疫苗的研发提供数据支撑。",猴痘病毒 疫苗的构建及免疫评价 猴痘病毒 痘苗病毒 疫苗 目的 设计猴痘病毒 抗原 选择多种方案设计抗猴痘病毒 候选疫苗 并完成其表达鉴定及小鼠体内的免疫效果评价 方法 选取猴痘病毒 基因设计三组候选抗原基因 命名为 并设置一组痘苗病毒 基因 作为对照 分别连接至 制备专用载体 通过线性化 体外转录 纯化和加帽获得功能性 利用 对目的抗原进行鉴定 通过微流控芯片制备 疫苗 制定免疫程序并完成小鼠的免疫及特异性抗体水平监测 结果 成功构建 组抗猴痘病毒的 疫苗和 组抗痘苗病毒的 疫苗 四组疫苗均能表达抗原蛋白 并且制备的 组 疫苗在免疫后 仍维持较高的特异性抗体水平 结论 成功完成猴痘病毒 疫苗的构建 表达及鉴定 并通过对不同猴痘病毒抗原设计的验证 为以后猴痘疫苗的研发提供数据支撑 ,痘病毒 疫苗 构建 免疫 评价 痘病毒 痘苗 病毒 疫苗 目的 设计 痘病毒 抗原 选择 多种 方案设计 抗猴 痘病毒 候选 疫苗 表达 鉴定 小鼠 体内 免疫 效果 评价 选取 痘病毒 基因 设计 三组 候选 抗原 基因 命名 设置 一组 痘苗 病毒 基因 对照 连接 制备 专用 载体 线性化 体外 转录 纯化 加帽 功能性 目的 抗原 鉴定 微流控 芯片 制备 疫苗 制定 免疫 程序 小鼠 免疫 特异性 抗体 水平 监测 成功 构建 组抗 痘病毒 疫苗 组抗 痘苗 病毒 疫苗 四组 疫苗 表达 抗原 蛋白 制备 疫苗 免疫 特异性 抗体 水平 成功 痘病毒 疫苗 构建 表达 鉴定 痘病毒 抗原 设计 验证 猴痘 疫苗 研发 提供数据 支撑
R3,"甲型流感病毒NP及相关宿主因子研究进展 甲型流感病毒/核蛋白NP/宿主因子/病毒增殖 甲型流感病毒(influenza A virus, IAV)严重威胁人类健康。病毒核心是核糖核蛋白复合物(viral ribonucleoprotein complexes, vRNPs),是病毒基因组转录和复制的最小功能单位。核蛋白(nucleoprotein, NP)是vRNP的重要组成部分之一，在流感病毒整个生命周期起着关键作用。机体存在多种宿主因子通过NP影响病毒增殖。本文就通过NP影响vRNP核输入、病毒基因组转录和复制、vRNP核输出以及vRNP组装这几个方面的宿主因子进行综述，以期为治疗IAV新靶点的发现及新药物的研发提供参考。",甲型流感病毒 及相关宿主因子研究进展 甲型流感病毒 核蛋白 宿主因子 病毒增殖 甲型流感病毒 严重威胁人类健康 病毒核心是核糖核蛋白复合物 是病毒基因组转录和复制的最小功能单位 核蛋白 是 的重要组成部分之一 在流感病毒整个生命周期起着关键作用 机体存在多种宿主因子通过 影响病毒增殖 本文就通过 影响 核输入 病毒基因组转录和复制 核输出以及 组装这几个方面的宿主因子进行综述 以期为治疗 新靶点的发现及新药物的研发提供参考 ,甲型 流感病毒 相关 宿主 因子 研究进展 甲型 流感病毒 核蛋白 宿主 因子 病毒 增殖 甲型 流感病毒 严重威胁 人类 健康 病毒 核心 核糖 核蛋白 复合物 病毒 基因组 转录 复制 最小 功能 单位 核蛋白 组成部分 流感病毒 生命周期 起着 关键作用 机体 多种 宿主 因子 病毒 增殖 输入 病毒 基因组 转录 复制 输出 组装 几个 宿主 因子 综述 以期 治疗 靶点 发现 药物 研发 提供 参考
R3,类器官模型在肝细胞癌中的研究进展 类器官/肝细胞癌/临床前研究模型/HBV感染 类器官作为一种维持自身组织结构和功能的体外3D模型，很大程度上克服了传统肿瘤模型(包括2D细胞培养和体内小鼠培养)的局限性，近年来已成为研究肿瘤领域的有力工具。肝细胞癌(HCC)类器官从人和鼠来源的组织样品中产生，保留了亲本肿瘤组织的关键特征，包括组织学结构、基因组景观、表达谱和肿瘤内异质性。目前类器官在乙型肝炎病毒(HBV)及其他因素诱导的肝癌机制探索、药物筛选、个体化医疗中的应用正在被广泛研究。文章就类器官的起源、特性及其在肝癌中的应用展开综述。,类器官模型在肝细胞癌中的研究进展 类器官 肝细胞癌 临床前研究模型 感染 类器官作为一种维持自身组织结构和功能的体外 模型 很大程度上克服了传统肿瘤模型 包括 细胞培养和体内小鼠培养 的局限性 近年来已成为研究肿瘤领域的有力工具 肝细胞癌 类器官从人和鼠来源的组织样品中产生 保留了亲本肿瘤组织的关键特征 包括组织学结构 基因组景观 表达谱和肿瘤内异质性 目前类器官在乙型肝炎病毒 及其他因素诱导的肝癌机制探索 药物筛选 个体化医疗中的应用正在被广泛研究 文章就类器官的起源 特性及其在肝癌中的应用展开综述 ,器官 肝细胞 癌中 研究进展 器官 肝细胞 临床 感染 器官 组织 结构 功能 体外 很大 程度 克服 传统 肿瘤 包括 细胞培养 体内 小鼠 培养 局限性 近年来 肿瘤 领域 工具 肝细胞 器官 来源 组织 样品 保留 亲本 肿瘤 组织 关键 特征 包括 组织学 结构 基因组 景观 表达 肿瘤 异质性 器官 乙型肝炎 病毒 因素 诱导 肝癌 机制 探索 药物 筛选 个体化 医疗 文章 器官 起源 特性 肝癌 展开 综述
R3,生物可降解锌基合金的研究进展 生物可降解金属/锌合金/耐腐蚀性能/体外研究 生物可降解金属材料由于其良好的机械性能、生物相容性和生物降解能力，已逐渐成为应用研究领域的热点。锌作为参与人体系统各项工作的元素之一，在新陈代谢中扮演着关键角色，具有适宜的降解速率，因此，在骨折固定、血管支架等领域展现出了良好的应用前景。本研究对可降解锌基合金的生理学优势和机械性能进行了总结，并对其耐腐蚀性能进行了体外研究与体内研究的综合分析。,生物可降解锌基合金的研究进展 生物可降解金属 锌合金 耐腐蚀性能 体外研究 生物可降解金属材料由于其良好的机械性能 生物相容性和生物降解能力 已逐渐成为应用研究领域的热点 锌作为参与人体系统各项工作的元素之一 在新陈代谢中扮演着关键角色 具有适宜的降解速率 因此 在骨折固定 血管支架等领域展现出了良好的应用前景 本研究对可降解锌基合金的生理学优势和机械性能进行了总结 并对其耐腐蚀性能进行了体外研究与体内研究的综合分析 ,生物 可降解 基合金 研究进展 生物 可降解 金属 锌合金 耐腐蚀性 体外 生物 可降解 金属材料 机械性能 生物 相容性 生物降解 能力 领域 热点 参与 人体 系统 各项 工作 元素 新陈代谢 扮演着 关键 角色 适宜 降解 速率 骨折 固定 血管 支架 领域 展现出 前景 可降解 基合金 生理学 优势 机械性能 耐腐蚀性 体外 体内 综合
R3,基于主动光源阵列的骨科机器人末端示踪装置 主动光源/手术机器人/导航定位/示踪装置 为减少机械臂导航过程中示踪装置视线遮挡问题对手术的影响，研究一种多角度主动光源阵列的末端示踪装置，采用非支架式的机械结构，配合双目相机，实现对手术机械臂位置的感知。通过大小两个棱柱相互配合，组成多角度的光源阵列，实现对机械臂工具中心点的计算。通过COMSOL软件搭建简易模型，验证示踪装置信号使用范围；通过覆盖范围实验和静态定位实验证明装置的有效性和稳定性，可以满足手术机器人的任务要求。,基于主动光源阵列的骨科机器人末端示踪装置 主动光源 手术机器人 导航定位 示踪装置 为减少机械臂导航过程中示踪装置视线遮挡问题对手术的影响 研究一种多角度主动光源阵列的末端示踪装置 采用非支架式的机械结构 配合双目相机 实现对手术机械臂位置的感知 通过大小两个棱柱相互配合 组成多角度的光源阵列 实现对机械臂工具中心点的计算 通过 软件搭建简易模型 验证示踪装置信号使用范围 通过覆盖范围实验和静态定位实验证明装置的有效性和稳定性 可以满足手术机器人的任务要求 ,主动 光源 阵列 骨科 机器人 末端 示踪 装置 主动 光源 手术 机器人 导航 定位 示踪 装置 减少 机械 导航 过程 示踪 装置 视线 遮挡 手术 多角度 主动 光源 阵列 末端 示踪 装置 支架 机械 结构 配合 双目 相机 手术 机械 位置 感知 大小 棱柱 相互配合 多角度 光源 阵列 机械 工具 中心点 计算 软件 搭建 简易 验证 示踪 装置 信号 覆盖范围 实验 静态 定位 实验 证明 装置 有效性 稳定性 手术 机器人
R3,"假病毒中和试验对狂犬病毒中和抗体效价的检测效能分析 假病毒中和试验/免疫荧光灶抑制试验/小鼠中和试验法/狂犬病毒中和抗体 目的：组织不同的实验室分析假病毒中和法（Pseudo Virus-based Neutralization Assay,PBNA）对不同样品的狂犬病病毒中和抗体水平的检测能力，并比较其与经典的快速免疫荧光灶抑制试验（Rapid Fluorescent Focus Inhibition Test,RFFIT）以及小鼠中和试验法（Mouse Neutralization Test,MNT）的相关性。方法：共9家实验室，分别采用PBNA、RFFIT以及MNT法对6份样品进行狂犬病病毒中和抗体检测，每个实验室进行3～5次重复实验。采用配对t检验及Pearson相关系数对3种检测方法的结果进行统计学分析。结果：PBNA与RFFIT、PBNA与MNT、RFFIT与MNT Pearson相关系数分别为0.985、0.988和0.974，抗体几何平均滴度进行t检验，差异均无统计学意义（P>0.05）。结论：3种方法重复检测6份样品的定量结果具有高度的相关性，PBNA法可作为《中华人民共和国药典》方法RFFIT、MNT的一种替代或补充方法，用于人用狂犬病疫苗临床血清、狂犬病人免疫球蛋白及抗狂犬病血清的狂犬病病毒中和抗体效价检测。",假病毒中和试验对狂犬病毒中和抗体效价的检测效能分析 假病毒中和试验 免疫荧光灶抑制试验 小鼠中和试验法 狂犬病毒中和抗体 目的 组织不同的实验室分析假病毒中和法 对不同样品的狂犬病病毒中和抗体水平的检测能力 并比较其与经典的快速免疫荧光灶抑制试验 以及小鼠中和试验法 的相关性 方法 共 家实验室 分别采用 以及 法对 份样品进行狂犬病病毒中和抗体检测 每个实验室进行 次重复实验 采用配对 检验及 相关系数对 种检测方法的结果进行统计学分析 结果 与 与 与 相关系数分别为 和 抗体几何平均滴度进行 检验 差异均无统计学意义 结论 种方法重复检测 份样品的定量结果具有高度的相关性 法可作为 中华人民共和国药典 方法 的一种替代或补充方法 用于人用狂犬病疫苗临床血清 狂犬病人免疫球蛋白及抗狂犬病血清的狂犬病病毒中和抗体效价检测 ,假病毒 试验 狂犬病毒 抗体 效价 检测 效能 假病毒 试验 免疫荧光 抑制 试验 小鼠 试验 狂犬病毒 抗体 目的 组织 实验室 假病毒 中和法 样品 狂犬病 病毒 抗体 水平 检测 能力 经典 快速 免疫荧光 抑制 试验 小鼠 试验 相关性 实验室 法对 样品 狂犬病 病毒 抗体 检测 实验室 重复 实验 配对 检验 相关系数 检测 统计学 相关系数 抗体 几何平均 滴度 检验 差异 统计学 意义 重复 检测 样品 定量 高度 相关性 法可 中华人民共和国 药典 替代 补充 人用 狂犬病 疫苗 临床 血清 狂犬病 免疫 球蛋白 及抗 狂犬病 血清 狂犬病 病毒 抗体 效价 检测
R3,二次脱钙法在临床病理骨组织HE制片中的应用研究 二次脱钙/临床病理/骨组织/HE制片 目的 探讨二次脱钙法在临床病理骨组织苏木精-伊红(HE)制片中的应用价值。方法 收集2022年6-12月该院病理科脱钙不充分、骨组织块或含钙化组织的蜡块100块，制成病理切片，根据脱钙方法的不同将病理切片分为对照组和研究组，对照组采用常规脱钙法，研究组采用二次脱钙法，分析2种方法制片效果的差异。结果 研究组病理切片HE制片结构完整性、HE染色满意度、切片优良率均明显高于对照组，差异均有统计学意义(P<0.05)。结论 二次脱钙法在临床病理骨组织HE制片中具有较高的应用价值。,二次脱钙法在临床病理骨组织 制片中的应用研究 二次脱钙 临床病理 骨组织 制片 目的 探讨二次脱钙法在临床病理骨组织苏木精 伊红 制片中的应用价值 方法 收集 年 月该院病理科脱钙不充分 骨组织块或含钙化组织的蜡块 块 制成病理切片 根据脱钙方法的不同将病理切片分为对照组和研究组 对照组采用常规脱钙法 研究组采用二次脱钙法 分析 种方法制片效果的差异 结果 研究组病理切片 制片结构完整性 染色满意度 切片优良率均明显高于对照组 差异均有统计学意义 结论 二次脱钙法在临床病理骨组织 制片中具有较高的应用价值 ,二次 脱钙法 临床 病理 骨组织 制片 二次 脱钙 临床 病理 骨组织 制片 目的 探讨 二次 脱钙法 临床 病理 骨组织 苏木 伊红 制片 价值 收集 该院 病理科 脱钙 骨组织 钙化 组织 蜡块 制成 病理切片 脱钙 病理切片 分为 对照组 研究组 对照组 常规 脱钙法 研究组 二次 脱钙法 制片 效果 差异 研究组 病理切片 制片 结构 完整性 染色 满意度 切片 优良率 高于 对照组 差异 统计学 意义 二次 脱钙法 临床 病理 骨组织 制片 价值
